exp_id,description,window,hidden_size,num_layers,dropout,lr,weight_decay,scheduler,attention,loss,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,parameters,notes
0,Baseline,30,,,,,False,False,MSE,0.9156,11.753,8.205,0.8007,14.839,10.459,822401,Current best — starting point for tuning
1,N_RANDOM_SEARCH 50→150,75,256,1,0.4,5e-4,0,True,False,Asymmetric(1.5),0.9255,11.046,7.976,0.8482,12.951,9.608,296065,Target 0.85 reached. Scheduler halved LR to 2.5e-4. Smaller model than baseline yet better generalisation.
